ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,Variety,List_ID,SubGroup,SourceType,District,Source,SfW
D_Bezhta1,Bezhta,bezh1248,,,,42.1206,46.03319,East-Caucasian,Dictionary,,14,Tsezic,Dictionary,,bezhta,0
D_Chechen,Chechen,chec1245,,,,43.5,45.5,East-Caucasian,Dictionary,,15,Nakh,Dictionary,,,0
D_Gagatli,Andi,andi1255,,,,42.800361,46.292645,East-Caucasian,Dictionary,,16,Andic,Dictionary,,andi_gagatli,1
D_Georgian,Georgian,nucl1302,,,,41.81574,44.31883,Kartvelian,Dictionary,,17,Kartvelian,Dictionary,,,0
D_Hinuq,Hinuq,hinu1240,,,,42.1764,45.98646,East-Caucasian,Dictionary,,18,Tsezic,Dictionary,,hinuq,1
D_Karata,Karata,kara1474,,,,42.65005,46.31511,East-Caucasian,Dictionary,,19,Andic,Dictionary,,karata,1
D_Kumyk,Kumyk,kumy1244,,,,43,47,Altaic,Dictionary,,20,Turkic,Dictionary,,,0
D_Lezgian,Lezgian,lezg1247,,,,41.51572,47.89507,East-Caucasian,Dictionary,,21,Lezgic,Dictionary,,lezgian,1
E_Russian,Russian,russ1263,,,,59,50,Indo-European,Expert,,22,Slavic,Dictionary,,Ilia Chechuro,1
D_Rutul,Rutul,rutu1240,,,,41.61866,47.32436,East-Caucasian,Dictionary,,23,Lezgic,Dictionary,,rutul,1
D_Tabasaran,Tabasaran,taba1259,,,,42.01976,47.83791,East-Caucasian,Dictionary,,24,Lezgic,Dictionary,,tabasaran,1
D_Tsez,Tsez,dido1241,,,,42.26458,45.80959,East-Caucasian,Dictionary,,25,Tsezic,Dictionary,,tsez,1
Darvag1,Azerbaijani,nort2697,,,,42.022285,48.065912,Altaic,Darvag,,26,Turkic,Speaker,Tabasaran,,1
Darvag2,Azerbaijani,nort2697,,,,42.022285,48.065912,Altaic,Darvag,,27,Turkic,Speaker,Tabasaran,,1
Darvag3,Azerbaijani,nort2697,,,,42.022285,48.065912,Altaic,Darvag,,28,Turkic,Speaker,Tabasaran,,1
Darvag4,Azerbaijani,nort2697,,,,42.022285,48.065912,Altaic,Darvag,,29,Turkic,Speaker,Tabasaran,,1
Darvag5,Azerbaijani,nort2697,,,,42.022285,48.065912,Altaic,Darvag,,31,Turkic,Speaker,Tabasaran,,1
Darvag6,Azerbaijani,nort2697,,,,42.022285,48.065912,Altaic,Darvag,,32,Turkic,Speaker,Tabasaran,,1
Dyubek1,Tabasaran,taba1259,,,,42.0208,47.969528,East-Caucasian,Dyubek,,33,Lezgic,Speaker,Tabasaran,,1
Dyubek2,Tabasaran,taba1259,,,,42.0208,47.969528,East-Caucasian,Dyubek,,34,Lezgic,Speaker,Tabasaran,,1
Dyubek3,Tabasaran,taba1259,,,,42.0208,47.969528,East-Caucasian,Dyubek,,35,Lezgic,Speaker,Tabasaran,,1
Dyubek4,Tabasaran,taba1259,,,,42.0208,47.969528,East-Caucasian,Dyubek,,36,Lezgic,Speaker,Tabasaran,,1
Dzhavgat1,Kajtak,kajt1238,,,,42.0506,47.9375,East-Caucasian,Dzhavgat,,37,Dargwa,Speaker,Kaitag,,1
Dzhavgat2,Kajtak,kajt1238,,,,42.0506,47.9375,East-Caucasian,Dzhavgat,,38,Dargwa,Speaker,Kaitag,,1
Dzhavgat3,Kajtak,kajt1238,,,,42.0506,47.9375,East-Caucasian,Dzhavgat,,39,Dargwa,Speaker,Kaitag,,1
Dzhavgat4,Kajtak,kajt1238,,,,42.0506,47.9375,East-Caucasian,Dzhavgat,,40,Dargwa,Speaker,Kaitag,,1
Dzhibakhni1,Kajtak,kajt1238,,,,42.06051,47.90847,East-Caucasian,Dzhibakhni,,41,Dargwa,Speaker,Kaitag,,1
Dzhibakhni2,Kajtak,kajt1238,,,,42.06051,47.90847,East-Caucasian,Dzhibakhni,,42,Dargwa,Speaker,Kaitag,,1
Dzhibakhni3,Kajtak,kajt1238,,,,42.06051,47.90847,East-Caucasian,Dzhibakhni,,43,Dargwa,Speaker,Kaitag,,1
Dzhibakhni4,Kajtak,kajt1238,,,,42.06051,47.90847,East-Caucasian,Dzhibakhni,,44,Dargwa,Speaker,Kaitag,,1
Gelmets1,Tsakhur,tsak1249,,,,41.62466,47.17889,East-Caucasian,Gelmets,,45,Lezgic,Speaker,Rutul,,1
Gelmets2,Tsakhur,tsak1249,,,,41.62466,47.17889,East-Caucasian,Gelmets,,46,Lezgic,Speaker,Rutul,,1
Gelmets3,Tsakhur,tsak1249,,,,41.62466,47.17889,East-Caucasian,Gelmets,,47,Lezgic,Speaker,Rutul,,1
Ikhrek1,Rutul,rutu1240,,,,41.693931,47.210005,East-Caucasian,Ikhrek,,48,Lezgic,Speaker,Rutul,,1
Ikhrek2,Rutul,rutu1240,,,,41.693931,47.210005,East-Caucasian,Ikhrek,,49,Lezgic,Speaker,Rutul,,1
Ikhrek3,Rutul,rutu1240,,,,41.693931,47.210005,East-Caucasian,Ikhrek,,50,Lezgic,Speaker,Rutul,,1
Ikhrek4,Rutul,rutu1240,,,,41.693931,47.210005,East-Caucasian,Ikhrek,,51,Lezgic,Speaker,Rutul,,1
Ilisu1,Azerbaijani,nort2697,,,,41.46694,47.05917,Altaic,Ilisu,,52,Turkic,Speaker,Qax,,1
Karata1,Karata,kara1474,,,,42.5942,46.3419,East-Caucasian,Karata,,53,Andic,Speaker,Akhvakh,,1
Karata2,Karata,kara1474,,,,42.5942,46.3419,East-Caucasian,Karata,,54,Andic,Speaker,Akhvakh,,1
Karata3,Karata,kara1474,,,,42.5942,46.3419,East-Caucasian,Karata,,55,Andic,Speaker,Akhvakh,,1
Karata4,Karata,kara1474,,,,42.5942,46.3419,East-Caucasian,Karata,,56,Andic,Speaker,Akhvakh,,1
Khapil1,Tabasaran,taba1259,,,,41.98722,47.97731,East-Caucasian,Khapil’,,57,Lezgic,Speaker,Tabasaran,,1
Khapil2,Tabasaran,taba1259,,,,41.98722,47.97731,East-Caucasian,Khapil’,,58,Lezgic,Speaker,Tabasaran,,1
Khapil3,Tabasaran,taba1259,,,,41.98722,47.97731,East-Caucasian,Khapil’,,59,Lezgic,Speaker,Tabasaran,,1
Khapil4,Tabasaran,taba1259,,,,41.98722,47.97731,East-Caucasian,Khapil’,,60,Lezgic,Speaker,Tabasaran,,1
Khapil5,Tabasaran,taba1259,,,,41.98722,47.97731,East-Caucasian,Khapil’,,61,Lezgic,Speaker,Tabasaran,,1
Khiv1,Tabasaran,taba1259,,,,41.7533,47.9286,East-Caucasian,Khiv,,62,Lezgic,Speaker,Khiv,,1
Khiv2,Tabasaran,taba1259,,,,41.7533,47.9286,East-Caucasian,Khiv,,63,Lezgic,Speaker,Khiv,,1
Khiv3,Tabasaran,taba1259,,,,41.7533,47.9286,East-Caucasian,Khiv,,64,Lezgic,Speaker,Khiv,,1
Khiv4,Tabasaran,taba1259,,,,41.7533,47.9286,East-Caucasian,Khiv,,65,Lezgic,Speaker,Khiv,,1
Khlyut1,Lezgian,lezg1247,,,,41.496274,47.533824,East-Caucasian,Khlyut,,66,Lezgic,Speaker,Rutul,,1
Khlyut2,Lezgian,lezg1247,,,,41.496274,47.533824,East-Caucasian,Khlyut,,67,Lezgic,Speaker,Rutul,,1
Khlyut3,Lezgian,lezg1247,,,,41.496274,47.533824,East-Caucasian,Khlyut,,68,Lezgic,Speaker,Rutul,,1
Khlyut4,Lezgian,lezg1247,,,,41.496274,47.533824,East-Caucasian,Khlyut,,69,Lezgic,Speaker,Rutul,,1
Khlyut5,Lezgian,lezg1247,,,,41.496274,47.533824,East-Caucasian,Khlyut,,70,Lezgic,Speaker,Rutul,,1
Khoredzh1,Tabasaran,taba1259,,,,41.74914,47.8667,East-Caucasian,Khoredzh,,71,Lezgic,Speaker,Khiv,,1
Khoredzh2,Tabasaran,taba1259,,,,41.74914,47.8667,East-Caucasian,Khoredzh,,72,Lezgic,Speaker,Khiv,,1
Khoredzh3,Tabasaran,taba1259,,,,41.74914,47.8667,East-Caucasian,Khoredzh,,73,Lezgic,Speaker,Khiv,,0
Khoredzh4,Tabasaran,taba1259,,,,41.74914,47.8667,East-Caucasian,Khoredzh,,74,Lezgic,Speaker,Khiv,,1
Khoredzh5,Tabasaran,taba1259,,,,41.74914,47.8667,East-Caucasian,Khoredzh,,75,Lezgic,Speaker,Khiv,,1
Khoredzh6,Tabasaran,taba1259,,,,41.74914,47.8667,East-Caucasian,Khoredzh,,76,Lezgic,Speaker,Khiv,,1
Khutkhul1,Agul,aghu1253,,,,41.78517,47.61451,East-Caucasian,Khutkhul,,77,Lezgic,Speaker,Agul,,1
Khutkhul2,Agul,aghu1253,,,,41.78517,47.61451,East-Caucasian,Khutkhul,,78,Lezgic,Speaker,Agul,,1
Khutkhul3,Agul,aghu1253,,,,41.78517,47.61451,East-Caucasian,Khutkhul,,79,Lezgic,Speaker,Agul,,1
Khutkhul4,Agul,aghu1253,,,,41.78517,47.61451,East-Caucasian,Khutkhul,,80,Lezgic,Speaker,Agul,,1
Kiche1,Rutul,rutu1240,,,,41.53146,47.48171,East-Caucasian,Kiche,,81,Lezgic,Speaker,Rutul,,1
Kiche2,Rutul,rutu1240,,,,41.53146,47.48171,East-Caucasian,Kiche,,82,Lezgic,Speaker,Rutul,,1
Kidero1,Tsez,dido1241,,,,42.1931,45.9583,East-Caucasian,Kidero,,83,Tsezic,Speaker,Tsunta,,1
Kidero2,Tsez,dido1241,,,,42.1931,45.9583,East-Caucasian,Kidero,,84,Tsezic,Speaker,Tsunta,,1
Kidero3,Tsez,dido1241,,,,42.1931,45.9583,East-Caucasian,Kidero,,85,Tsezic,Speaker,Tsunta,,1
Kina1,Rutul,rutu1240,,,,41.6166,47.2647,East-Caucasian,Kina,,86,Lezgic,Speaker,Rutul,,0
Kina2,Rutul,rutu1240,,,,41.6166,47.2647,East-Caucasian,Kina,,87,Lezgic,Speaker,Rutul,,0
Kina3,Rutul,rutu1240,,,,41.6166,47.2647,East-Caucasian,Kina,,88,Lezgic,Speaker,Rutul,,0
Kurag1,Lezgian,lezg1247,,,,41.836764,47.661351,East-Caucasian,Kurag,,89,Lezgic,Speaker,Agul,,1
Laka1,Tabasaran,taba1259,,,,41.75705,47.88114,East-Caucasian,Laka,,90,Lezgic,Speaker,Khiv,,1
Laka2,Tabasaran,taba1259,,,,41.75705,47.88114,East-Caucasian,Laka,,91,Lezgic,Speaker,Khiv,,1
Laka3,Tabasaran,taba1259,,,,41.75705,47.88114,East-Caucasian,Laka,,92,Lezgic,Speaker,Khiv,,1
Laka4,Tabasaran,taba1259,,,,41.75705,47.88114,East-Caucasian,Laka,,93,Lezgic,Speaker,Khiv,,1
Laka5,Tabasaran,taba1259,,,,41.75705,47.88114,East-Caucasian,Laka,,94,Lezgic,Speaker,Khiv,,1
Laka6,Tabasaran,taba1259,,,,41.75705,47.88114,East-Caucasian,Laka,,95,Lezgic,Speaker,Khiv,,1
Meshabash1,Georgian,nucl1302,,,,41.408889,46.874444,Kartvelian,Meshabash,,96,Kartvelian,Speaker,Qax,,1
Meshabash2,Georgian,nucl1302,,,,41.408889,46.874444,Kartvelian,Meshabash,,97,Kartvelian,Speaker,Qax,,0
Mikik1,Tsakhur,tsak1249,,,,41.63753,47.16822,East-Caucasian,Mikik,,98,Lezgic,Speaker,Rutul,,1
Mikik2,Tsakhur,tsak1249,,,,41.63753,47.16822,East-Caucasian,Mikik,,99,Lezgic,Speaker,Rutul,,1
Qax1,Azerbaijani,nort2697,,,,41.41944,46.91806,Altaic,Qax,,100,Turkic,Speaker,Qax,,0
Qax2,Azerbaijani,nort2697,,,,41.41944,46.91806,Altaic,Qax,,101,Turkic,Speaker,Qax,,1
Qax3,Azerbaijani,nort2697,,,,41.41944,46.91806,Altaic,Qax,,102,Turkic,Speaker,Qax,,1
Qax4,Georgian,nucl1302,,,,41.41944,46.91806,Kartvelian,Qax,,103,Kartvelian,Speaker,Qax,,1
Qax5,Georgian,nucl1302,,,,41.41944,46.91806,Kartvelian,Qax,,104,Kartvelian,Speaker,Qax,,1
Qax6,Georgian,nucl1302,,,,41.41944,46.91806,Kartvelian,Qax,,105,Kartvelian,Speaker,Qax,,1
Qax7,Azerbaijani,nort2697,,,,41.41944,46.91806,Altaic,Qax,,106,Turkic,Speaker,Qax,,1
Qax8,Azerbaijani,nort2697,,,,41.41944,46.91806,Altaic,Qax,,107,Turkic,Speaker,Qax,,0
Qax9,Azerbaijani,nort2697,,,,41.41944,46.91806,Altaic,Qax,,108,Turkic,Speaker,Qax,,1
Qum1,Tsakhur,tsak1249,,,,41.4550912,46.9013871,East-Caucasian,Qum,,109,Lezgic,Speaker,Qax,,0
Qum2,Tsakhur,tsak1249,,,,41.4550912,46.9013871,East-Caucasian,Qum,,110,Lezgic,Speaker,Qax,,0
Rikvani1,Andi,andi1255,,,,42.782304,46.319372,East-Caucasian,Rikvani,,111,Andic,Speaker,Botlikh,,1
Rutul1,Rutul,rutu1240,,,,41.5342,47.4269,East-Caucasian,Rutul,,112,Lezgic,Speaker,Rutul,,1
Tad-Magitl1,Akhvakh,akhv1239,,,,42.550266,46.348953,East-Caucasian,Tad-Magitl,,113,Andic,Speaker,Akhvakh,,1
Tad-Magitl2,Akhvakh,akhv1239,,,,42.550266,46.348953,East-Caucasian,Tad-Magitl,,114,Andic,Speaker,Akhvakh,,1
Tatil1,Tabasaran,taba1259,,,,41.99269,47.98826,East-Caucasian,Tatil’,,115,Lezgic,Speaker,Tabasaran,,1
Tatil2,Tabasaran,taba1259,,,,41.99269,47.98826,East-Caucasian,Tatil’,,116,Lezgic,Speaker,Tabasaran,,1
Tatil3,Tabasaran,taba1259,,,,41.99269,47.98826,East-Caucasian,Tatil’,,117,Lezgic,Speaker,Tabasaran,,1
Tatil4,Tabasaran,taba1259,,,,41.99269,47.98826,East-Caucasian,Tatil’,,118,Lezgic,Speaker,Tabasaran,,1
Tatil5,Tabasaran,taba1259,,,,41.99269,47.98826,East-Caucasian,Tatil’,,119,Lezgic,Speaker,Tabasaran,,1
Tpig1,Agul,aghu1253,,,,41.780423,47.589523,East-Caucasian,Tpig,,120,Lezgic,Speaker,Agul,,1
Tsinit1,Lezgian,lezg1247,,,,41.72324,48.00882,East-Caucasian,Tsinit,,121,Lezgic,Speaker,Khiv,,1
Tsinit2,Lezgian,lezg1247,,,,41.72324,48.00882,East-Caucasian,Tsinit,,122,Lezgic,Speaker,Khiv,,1
Tsinit3,Lezgian,lezg1247,,,,41.72324,48.00882,East-Caucasian,Tsinit,,123,Lezgic,Speaker,Khiv,,0
Tsinit4,Lezgian,lezg1247,,,,41.72324,48.00882,East-Caucasian,Tsinit,,124,Lezgic,Speaker,Khiv,,1
Tsinit5,Lezgian,lezg1247,,,,41.72324,48.00882,East-Caucasian,Tsinit,,125,Lezgic,Speaker,Khiv,,1
Tukita1,Karata,toki1238,,,,42.57056,46.37278,East-Caucasian,Tukita,,126,Andic,Speaker,Akhvakh,,1
Yagdyg1,Tabasaran,taba1259,,,,41.980115,47.970578,East-Caucasian,Yagdyg,,127,Lezgic,Speaker,Tabasaran,,0
Yagdyg2,Tabasaran,taba1259,,,,41.980115,47.970578,East-Caucasian,Yagdyg,,128,Lezgic,Speaker,Tabasaran,,1
Yagdyg3,Tabasaran,taba1259,,,,41.980115,47.970578,East-Caucasian,Yagdyg,,129,Lezgic,Speaker,Tabasaran,,1
Yagdyg4,Tabasaran,taba1259,,,,41.980115,47.970578,East-Caucasian,Yagdyg,,130,Lezgic,Speaker,Tabasaran,,1
Yagdyg5,Tabasaran,taba1259,,,,41.980115,47.970578,East-Caucasian,Yagdyg,,131,Lezgic,Speaker,Tabasaran,,1
Yagdyg6,Tabasaran,taba1259,,,,41.980115,47.970578,East-Caucasian,Yagdyg,,132,Lezgic,Speaker,Tabasaran,,1
Yersi1,Azerbaijani,nort2697,,,,42.018844,48.012897,Altaic,Yersi,,133,Turkic,Speaker,Tabasaran,,1
Yersi2,Azerbaijani,nort2697,,,,42.018844,48.012897,Altaic,Yersi,,134,Turkic,Speaker,Tabasaran,,1
Yersi3,Azerbaijani,nort2697,,,,42.018844,48.012897,Altaic,Yersi,,135,Turkic,Speaker,Tabasaran,,1
Yersi4,Azerbaijani,nort2697,,,,42.018844,48.012897,Altaic,Yersi,,136,Turkic,Speaker,Tabasaran,,0
Zilo1,Andi,andi1255,,,,42.731394,46.319223,East-Caucasian,Zilo,,137,Andic,Speaker,Botlikh,,1
Zilo2,Andi,andi1255,,,,42.731394,46.319223,East-Caucasian,Zilo,,138,Andic,Speaker,Botlikh,,1
D_Persian,Persian,west2369,,,,28.65928,55.15861,Indo-European,Dictionary,,139,Iranian,Dictionary,,,0
D_Archi,Archi,arch1244,,,,42.0664,46.8678,East-Caucasian,Dictionary,,140,Lezgic,Dictionary,,archi,1
D_Bezhta2,Bezhta,bezh1248,,,,42.1206,46.03319,East-Caucasian,Dictionary,,141,Tsezic,Dictionary,,bezhta,1
Tlibisho1,Bagvalal,bagv1239,,,,42.333,46.1804,East-Caucasian,Tlibisho,,142,Andic,Speaker,Akhvakh,,1
Tlibisho2,Bagvalal,bagv1240,,,,42.333,46.1804,East-Caucasian,Tlibisho,,143,Andic,Speaker,Akhvakh,,1
Tlibisho3,Bagvalal,bagv1241,,,,42.333,46.1804,East-Caucasian,Tlibisho,,144,Andic,Speaker,Akhvakh,,1
Tlibisho4,Bagvalal,bagv1242,,,,42.333,46.1804,East-Caucasian,Tlibisho,,145,Andic,Speaker,Akhvakh,,1
D_Bagvalal,Bagvalal,bagv1242,,,,42.333,46.1804,East-Caucasian,Dictionary,,146,Andic,Dictionary,,bagvalal,1
Kusur1,Avar,avar1256,,,,41.4658,46.5641,East-Caucasian,Kusur,,147,Avar,Speaker,Rutul,,1
E_Georgian,Georgian,nucl1302,,,,41.81574,44.31883,Kartvelian,Expert,,148,Kartvelian,Expert,,Manana Tandashvili; Nestan Magalashvili,1
E_Arabic,Arabic,egyp1253,,,,31,31,Afro-Asiatic,Expert,,149,Semitic,Expert,,Maria Bulakh,1
E_Avar,Avar,avar1256,,,,42.43056,46.66639,East-Caucasian,Expert,,150,Avar,Expert,,Shakhban Khapizov,1
E_Chechen,Chechen,chec1245,,,,43.5,45.5,East-Caucasian,Expert,,151,Nakh,Expert,,Zarina Molochieva,1
E_Kumyk,Kumyk,kumy1244,,,,43,47,Altaic,Expert,,152,Turkic,Expert,,Tagir Gadzhiakmedov; Anna Dybo,1
E_Persian,Persian,west2369,,,,28.65928,55.15861,Indo-European,Expert,,153,Iranian,Expert,,Elena Armand,1
Anchikh1,Karata,anch1238,,,,42.610709,46.277436,East-Caucasian,Anchikh,,154,Andic,Speaker,Akhvakh,,1
Anchikh2,Karata,anch1238,,,,42.610709,46.277436,East-Caucasian,Anchikh,,155,Andic,Speaker,Akhvakh,,1
Kwankhidatli1,Andi,andi1255,,,,42.656995,46.272891,East-Caucasian,Kwankhidatli,,156,Andic,Speaker,Botlikh,,1
Tukita2,Karata,toki1238,,,,42.57056,46.37278,East-Caucasian,Tukita,,157,Andic,Speaker,Akhvakh,,1
Tukita3,Karata,toki1238,,,,42.57056,46.37278,East-Caucasian,Tukita,,158,Andic,Speaker,Akhvakh,,1
Tukita4,Karata,toki1238,,,,42.57056,46.37278,East-Caucasian,Tukita,,159,Andic,Speaker,Akhvakh,,1
Tukita5,Karata,toki1238,,,,42.57056,46.37278,East-Caucasian,Tukita,,160,Andic,Speaker,Akhvakh,,1
Bezhta2,Bezhta,bezh1248,,,,42.1339,46.1247,East-Caucasian,Bezhta,,161,Tsezic,Speaker,Tsunta,,1
Kurdul1,Tsakhur,tsak1249,,,,41.581482,47.178110,East-Caucasian,Kurdul,,162,Lezgic,Speaker,Rutul,,1
Kurdul2,Tsakhur,tsak1249,,,,41.581482,47.178110,East-Caucasian,Kurdul,,163,Lezgic,Speaker,Rutul,,1
Kurdul3,Tsakhur,tsak1249,,,,41.581482,47.178110,East-Caucasian,Kurdul,,164,Lezgic,Speaker,Rutul,,1
Fiy1,Lezgian,lezg1247,,,,41.285241,47.565016,East-Caucasian,Fiy,,165,Lezgic,Speaker,Akhty,,1
Fiy2,Lezgian,lezg1247,,,,41.285241,47.565016,East-Caucasian,Fiy,,166,Lezgic,Speaker,Akhty,,1
Gdym1,Lezgian,lezg1247,,,,41.310094,47.468052,East-Caucasian,Gdym,,167,Lezgic,Speaker,Akhty,,1
Gdym2,Lezgian,lezg1247,,,,41.310094,47.468052,East-Caucasian,Gdym,,168,Lezgic,Speaker,Akhty,,1
Khnov1,Rutul,rutu1240,,,,41.378933,47.442273,East-Caucasian,Khnov,,169,Lezgic,Speaker,Akhty,,1
Khnov2,Rutul,rutu1240,,,,41.378933,47.442273,East-Caucasian,Khnov,,170,Lezgic,Speaker,Akhty,,1
Khnov3,Rutul,rutu1240,,,,41.378933,47.442273,East-Caucasian,Khnov,,171,Lezgic,Speaker,Akhty,,1
Kina4,Rutul,rutu1240,,,,41.6166,47.2647,East-Caucasian,Kina,,172,Lezgic,Speaker,Rutul,,1
Kina5,Rutul,rutu1240,,,,41.6166,47.2647,East-Caucasian,Kina,,173,Lezgic,Speaker,Rutul,,1
Kina3a,Rutul,rutu1240,,,,41.6166,47.2647,East-Caucasian,Kina,,174,Lezgic,Speaker,Rutul,,1
Kina2a,Rutul,rutu1240,,,,41.6166,47.2647,East-Caucasian,Kina,,175,Lezgic,Speaker,Rutul,,1
Kina1a,Rutul,rutu1240,,,,41.6166,47.2647,East-Caucasian,Kina,,176,Lezgic,Speaker,Rutul,,1
