Entry_ID	List_ID	Code	Concept_ID	Concept	Word	Comment	Standard_Transcription	Stem
1	1	Alibeglo1	1	the ant	žinč'ola	NA	č'ianč'vela	1
2	17	D_Georgian	1	the ant	č'ianč'vela	NA	č'ianč'vela	1
3	96	Meshabash1	1	the ant	žinč'ela	NA	č'ianč'vela	1
4	97	Meshabash2	1	the ant	č'ianč'vela	NA	č'ianč'vela	1
5	103	Qax4	1	the ant	žionč'ela	NA	č'ianč'vela	1
6	104	Qax5	1	the ant	žinč'ola	NA	č'ianč'vela	1
7	105	Qax6	1	the ant	žionč'ela	NA	č'ianč'vela	1
8	148	E_Georgian	1	the ant	č'ianč'vela	NA	č'ianč'vela	1
9	8	Bezhta1	1	the ant	hũca	NA	hũca	2
10	14	D_Bezhta1	1	the ant	hũca	NA	hũca	2
11	141	D_Bezhta2	1	the ant	hũca	NA	hũca	2
12	139	D_Persian	1	the ant	moor	NA	moor	3
13	153	E_Persian	1	the ant	moor	NA	moor	3
14	153	E_Persian	1	the ant	mur	NA	moor	3
15	11	D_Arabic	1	the ant	namlah	NA	"نَمْلَة"	4
16	11	D_Arabic	1	the ant	nammah	NA	"نَمْلَة"	4
17	149	E_Arabic	1	the ant	"نَمْلَة"	nam̊laẗ	"نَمْلَة"	4
18	13	E_Azerbaijani	1	the ant	qarışqa	NA	qarışqa	5
19	26	Darvag1	1	the ant	qarışqa	NA	qarışqa	5
20	27	Darvag2	1	the ant	гаришкъа	NA	qarışqa	5
21	28	Darvag3	1	the ant	гаришкъа	NA	qarışqa	5
22	29	Darvag4	1	the ant	хъаришхъа	NA	qarışqa	5
23	29	Darvag4	1	the ant	хъаришхъа	NA	qarışqa	5
24	31	Darvag5	1	the ant	хъаришхъа	NA	qarışqa	5
25	32	Darvag6	1	the ant	хъаришхъа	NA	qarışqa	5
26	52	Ilisu1	1	the ant	qarışğa	NA	qarışqa	5
27	101	Qax2	1	the ant	qarışqa	NA	qarışqa	5
28	102	Qax3	1	the ant	qarışqa	NA	qarışqa	5
29	106	Qax7	1	the ant	qarışqa	NA	qarışqa	5
